Tabelle 1;;;;;;;;;;
Id;;Lokal;Jahr;Telefonnummer;Straße;Hausnummer;lat, lon;Aus der Speisekarte;fremde Identifikatoren;Personen
p62/m1;;Weinrestaurant Kurtz;19151109;;Augustinerstrasse;1;48.1384673,11.5698779;"Hs. Vermerk: „fleischverbot“ (19151109)
Hs. Verwerk: „fleischloser Tag“ (19151105)";;
p62/m2;;Weinrestaurant Kurtz;19171217;;Augustinerstrasse;1;48.1384673,11.5698779;;;
p62/m3;;Weinrestaurant Kurtz;19151105;;Augustinerstrasse;1;48.1384673,11.5698779;;;
p63/m1;;Gastwirtschaft zum Landsknecht, Spezial-Gaststätte in Wiener Küche;19390715;58813;Landwehrstraße;47;48.1363656,11.556439;"„Schau nicht auf’s Herz allein, auch auf den Magen! Was Du im „Landsknecht“ ißt, kann er vertragen!“

„Was Du beim „Landsknecht“ ißt, merk Dir’s genau! Kocht auch nicht besser Deine Frau!“

„Rauchwaren zu Ladenpreisen“";;
p64/m1;p64_m1.jpg;Le Médoc;ca. 1980;(089) 536670;Haberlstraße;1;48.1288333,11.556472;"„Büro Lunch“

„Schildkrötensuppe „Lady Curzen“ mit Currysahne überbacken DM 9.50“

„Froschschenkel „Nicaise“ mit Baguette DM 12.-“";;
p64/m2;;Le Médoc;;;Haberlstraße;1;48.1288333,11.556472;;;
p64/m3;;Le Médoc;;;Haberlstraße;1;48.1288333,11.556472;;;
p65;p65_m1_.jpg;Logenrestaurant, Berlin-Steglitz, Albrechtstr. (vermutlich) Nr. 111 oder 114???????????????;;;;;;;;
p141/m1;;Festhalle Löwenbräu;ca. 1959;;;;;;;
p141/m2;;Festhalle Löwenbräu;ca. 1961;;;;;;;
p66/m1;p66_m1_ima1.jpg;Löwenbräu-Keller;1906;553021 (1959);Nymphenburgerstraße;2;48.1479122,11.5563958;"„Täglich große Regimentsmusik-Concerte“ von einem oder mehrerern Musikcorps.“
„Die Besichtigung der großen Hauptküche mit ihren neuesten, vorzüglichsten maschinellen Einrichtungen, nebst Schlachthaus, Fischbrunnen und Vorrathskammern etc. ist den verehrl. Gästen gerne gestattet, und können dort auf Wunsch Speisen direkt in Empfang genommen werden.“
„Das Schenkpersonal ist aufs strengste angewiesen, gut einzuschenken.“
„Beschwerden über ungenügendes Einschenken bittet man am Büffet anzubringen.“

„Permanenter Ausschank von vorzüglichem Sommer-Lager-Bier (Versandt-Bier) aus der Actienbrauerei zum Löwenbräu, München.“

„feine preiswürdige Havanna, Hamburger und Bremer Cigarren, Cigaretten und österreichische Virginia.“

(= 1906)

#################

„Jeden Mittwoch 15 Uhr Große Hausfrauenparty“ (=1959)
";"Q874045

";"Q64747
Q295935
Q352
"
p66/m2;;Löwenbräu-Keller;19590921;;Nymphenburgerstraße;2;48.1479122,11.5563958;;"Q874045

";"Q64747
Q295935
Q352
"
p67/m1;p67_m1.jpg;Märzen Keller;19380827;52382;Bayerstrasse;27;48.1391648,11.5582791;"„Jllustrierte Gurke“
„Hirn mit Ei und Kompott“";;
p68/m1;p68_m1_ima2.jpg;Mathäser Bierstadt;ca. 1960;;Bayerstraße;5;48.1390784,11.5616589;„Alle Preise verstehen sich inc. 10% städtischer Getränkesteuer.“;;
p68/m6;p68_m6.jpg;Mathäser Bierstadt;ca.1957;;Bayerstraße;5;48.1390784,11.5616589;;;
p68/m7;;Mathäser Bierstadt;ca. 1958;;Bayerstraße;5;48.1390784,11.5616589;;;
p68/m8;p68_m8_ima5.jpg;Mathäser Bierstadt;ca. 1960;;Bayerstraße;5;48.1390784,11.5616589;;;
p68/m2;;Mathäser Weißbierhalle;19421224;58593;Bayerstraße;1;48.139141,11.562069;„1a Lunge -.30“ (1938);;
p68/m3;;Mathäser Weißbierhalle;19421225;;Bayerstraße;1;48.139141,11.562069;;;
p68/m4;p68_m4.jpg;Mathäser Weißbierhalle;19380827;;Bayerstraße;1;48.139141,11.562069;;;
p68/m5;;Mathäser-Bierstadt Max und Moritz im Mathäser;ca. 1965;;Bayerstraße;3;48.1390944,11.5617302;"„Stramme Hähnchen so wie diese
Drehn sich lustig hier am Spieße
Grade so wie Witwe Bolte
Sie am Abend essen wollte
Doch die beiden bösen Brüder
Stahlen Ihr die Hähnchen wieder
Dieses sei zur Lehre Dir
Esse gleich dein Hähnchen h i e r !“";;
p68/m9;p68_m9_ima2.jpg;"Mathäserbräu-Bierhallen
";19161030 - 19161031 ;;Bayerstraße;3;48.1390944,11.5617302;"„Heute fettloser Tag“

„Mein Schankpersonal ist angewiesen gut einzuschenken und ersuche höflichst, ungenügend gefüllte Krüge nachschenken zu lassen.“

Erfindung der „Russenmaß“
";"Q1908775
";"Q76440
Q44540
"
p68/m10;;"Mathäserbräu-Bierhallen
";19211016;;Bayerstraße;3;48.1390944,11.5617302;;"Q1908775
";"Q76440
Q44540
"
p68/m11;;"Mathäserbräu-Bierhallen
";19170420;;Bayerstraße;3;48.1390944,11.5617302;;"Q1908775
";"Q76440
Q44540
"
p68/m12;;"Mathäserbräu-Bierhallen
";19170111;;Bayerstraße;3;48.1390944,11.5617302;;"Q1908775
";"Q76440
Q44540
"
p68/m13;;"Mathäserbräu-Bierhallen
";19161031;;Bayerstraße;3;48.1390944,11.5617302;;"Q1908775
";"Q76440
Q44540
"
p68/m14;;"Mathäserbräu-Bierhallen
";19430121;;Bayerstraße;3;48.1390944,11.5617302;„Ochsengaumensalat“ (1921);"Q1908775
";"Q76440
Q44540
"
p68/m15;;"Mathäserbräu-Bierhallen
";19380827;;Bayerstraße;3;48.1390944,11.5617302;;"Q1908775
";"Q76440
Q44540
"
p69/m1;p69_m1_ima2.jpg;Milan;ca. 1980;;;;;;;
p70/m1;;Mönchtaler Hirtenstube;1971;0811/241115;Petersplatz;8;48.1360127,11.5738177;;;
p70/m2;p70_m2_ima2.jpg;Mönchtaler Hirtenstube;1971;;Petersplatz;8;48.1360127,11.5738177;;;
p70/m3;p70_m3.jpg;Mönchtaler Hirtenstube;1971;;Petersplatz;8;48.1360127,11.5738177;;;
p71/m1;p71_m1_ima1.jpg;Mövenpick im Künstlerhaus;1974;089/557865;im Künstlerhaus - Lenbachplatz;8;48.1402368,11.5655236;"„Brunch (sprich: Brantsch) = Breakfast und Lunch“
„Jeden Sonntag 10:30 Uhr für genießerische Langschläfer Familin-Brunch (Breakfast und Lunch in einem) á discrétion (soviel man mag) im vollklimatisierten Mövenpick im Künstlerhaus 1. Stock“";;GND108476138
p71/m2;p71_m2.jpg;Mövenpick im Künstlerhaus;19740513 - 19740518;089/557865;im Künstlerhaus - Lenbachplatz;8;48.1402368,11.5655236;„Maître Cavestri, der Meister der Meister französischer Kochkunst, Weltmeister und Saucier-Goldmedaillen-Gewinner der Jahre 1959/70 und 1972, zelebriert direkt vor Ihren Augen Gala-Vorstellungen französischer Küche - Dem Feinschmecker zur Augenweide und Gaumenfreude. Abends ab 19.00 Uhr läßt Giovanni Cavestri an Ihrem Tisch seine flambierten Genüsse zu einem unvergeßlichen Erlebnis werden.“;;GND108476138
p72/m1;p72_m1.jpg;Münchner Imbißhalle;19380827;51123;Bayerstraße;15;48.1392104,11.560151;„Imbiß-Hallen-Platte“;;
p72/m2;p72_m2.jpg;;19390716;;Bayerstraße;15;48.1392104,11.560151;;;
p73/m1;p73_m1_ima1.jpg;Hotel National;19380708;53087;Senefelderstraße;5;48.1384756,11.5580984;„Umstandsbrot“;;
p74/m1;;zur Trinkstube;19180429;;Herzogspitalstraße;20;48.138043,11.5651218;„Bringt Euren Goldschmuck der Goldkaufstelle im Rathaus.“;;
p75/m1;;Gaststätte Nürnberger Hof;19380827;Telefon 57206;Bayerstraße;53;48.1390415,11.5540117;„Abendessen zu 30 Rpf.“;;
p76/m1;p76_m1.jpg;Münchner Ochsen-Braterei;;;;;;;;
p77/m1;p77_m1_ima8.jpg;Restaurant Opatija;1962;Fernsprecher 591202;Briennerstr.;41;48.1276216,11.5604187;„Dzingis-Khan Spieß (5 Personen) 40.—“;;"Q4457
Q66519
Q45542
Q155236
"
p78/m1;p78_m1_ima2.jpg;P1, Das fidele Atelier im Haus der Kunst;ca. 1960;;Prinzregentenstraße;1;48.1441745,11.5849268;„P1SPecial 3.50“;"Q1324601
";
p78/m2;;P1, Das fidele Atelier im Haus der Kunst;ca. 1962;;Prinzregentenstraße;1;48.1441745,11.5849268;„P1SPecial 3.50“;"Q1324601
";
p79/m1;p79_m1.jpg;Schlosscafé im Palmenhaus;;;;;;;;
P80/m1;p80_m1.jpg;Parc-Restaurant;ca. 1960;;Maximiliansplatz;1;48.1419094,11.5677962;;;
P80/m2;;Parc-Restaurant;;;Maximiliansplatz;1;48.1419094,11.5677962;;;
p81;p81_m1_ima1.jpg;Parkhotel, Fankfurt am Main;;;;;;;;
p82/m1;;Hotel und Gaststätte Paul Heyse;19290716;Fernruf 56783;Paul Heysestraße;22;48.1365313,11.5534819;"„Rosenspitz m. Macc.“
„Paul-Heyseplatte“";;
p83/m1;p83_m1_ima1.jpg;Paulaner-Thomasbräu-Festhalle;1965;;;;;;;
p84/m1;p84_m2.jpg;Hotel und Café-Restaurant Peterhof;191511;;Marienplatz;26;48.1370141,11.572967;"Hs. Vermerk: „Dienstag und Freitag fleischlose Tage“
„Täglich Abends Konzert der Bauernkapelle“";;
p85/m1;;Hotel-Restaurant Pfälzer Hof;19380827;;Schommerstraße;14b;48.1382193,11.5598459;"„Rumsteak garniert“
„Filet engl. pommes fruits“";;
p84/m2;;Peterhof-Gaststätten;19600505;;Marienplatz;22;48.1368649,11.5730797;"„Geburtstätte der Münchner Weißwurst“

„Restaurationsbrot“
„Kalbsbeuscherl mit Semmelknödel“
„2 Stk. Kälberfüße gebacken, Kart.-Salat“

„Parken für 500 Wagen - Einfahrt Rindermarkt 16 gegenüber Kustermann“";;"Q707636
"
p86/m1;p86_m1_ima1.jpg;Platzl;1967;;Platzl;1A;48.1379398,11.5774666;"„Auch Deine Lieblingsspeise wird serviert, wenn Deinen Wunsch Du äußerst ungeniert.“
„Platzl Faßl (ca. 3 Liter)“";;
p87/m1;p87_m1.jpg;Gasthof und Hotel Zur Post;19390716;Telefon 596843;Bayerstraße;45;48.1390762,11.5553189;"„Franziskaner-Leistbräu-Ausschank“
„Eigene Schlächterei“";;
p87/m2;p87_m2.jpg;Gasthof und Hotel Zur Post;19380716;Telefon 596843;Bayerstraße;45;48.1390762,11.5553189;"„Franziskaner-Leistbräu-Ausschank“
„Eigene Schlächterei“";;
p88/m1;p88_m1.jpg;Gasthof „Zur Post“, Pasing;19130122;;;;;„Speisen- und Weinkarte zum Haus- und Bürgerball am 22. Januar 1913“;;
p88/m2;p88_m2.jpg;Gasthof „Zur Post“, Pasing;19160510;;;;;"„Mittagstisch von 12—2 Uhr
ä Couvert M.—.80
M.1.30 und höher
im Abonnement billiger";;
p88/m3;;Gasthof „Zur Post“, Pasing;19160421;;;;;;;
p88/m4;;Gasthof „Zur Post“, Pasing;ca. 1916;;;;;"„Mittagstisch von 12—2 Uhr
ä Couvert M.—.80
M.1.30 und höher
im Abonnement billiger";;
p89/m1;;Pschorrbräu;19080807;;;;;;;
p89/m2;;Pschorrbräu;19170815;;Neuhauserstraße;11;48.13822,11.5682413;"„Fleischtag“
„Rotaugen gebraten 1.70“
„Eitel sauer Wurzel 1.60“

„Markenfreies Fleisch
Kitz, Gänse, Enten, Tauben, Indian, Hasen, Gemsen, Wildgeflügel, Wildaufbruch, Eingeweise vom Schlachtvieh, Hirn, Lunge, Kutteln, Gekröse, Euter“";;
p89/m3;p89_m3_ima1.jpg;Pschorrbräu;19170608;;Neuhauserstraße;11;48.13822,11.5682413;;;
p89/m4;p89_m4_ima1.jpg;Pschorrbräu-Bierhallen;19160911;;Neuhauserstraße;11;48.13822,11.5682413;„Hamburger Brötchen“;;
p89/m5;p89_m5_ima1.jpg;Pschorrbräu-Bierhallen;1959;;Neuhauserstraße;11;48.13822,11.5682413;"„Münchner Schmankerl“
„Vom Infra-Grill“";;
p89/m6;p89_m6_ima1.jpg;Pschorrbräu-Bierhallen;19591107;Telefon 20859;Neuhauserstraße;11;48.13822,11.5682413;„Besser schmeckt das Essen Dir, trinkst Du dazu Pschorrbräu-Bier!“;;
p90/m1;p90_m1.jpg;Vegetarische Gaststätte und Café Quisisana;19380824;Telefon 53044;Landwehrstraße;4/1;48.1364487,11.5617937;"„Jllustrierte Abendplatte -.80“
„Eine Englische Spezialitätenplatte 1.10
„Wiener Mehlspeisenplatte (sehr reichhaltig) 1.—„";;
p91/m1;p91_m1.jpg;Ratskeller München;19190125;;Marienplatz;8;48.1377938,11.5759876;„Hirnsuppe“;;"Q1598744
Q45399"
p91/m2;p91_m2_ima1.jpg;Ratskeller München;Undatiert;;Marienplatz;8;48.1377938,11.5759876;;;"Q1598744
Q45399"
p92/m1;p92_m1.jpg;Regina Palast Hotel;ca. 1972;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m2;p92_m2.jpg;Regina Palast Hotel;ca. 1972;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m3;p92_m3.jpg;Regina Palast Hotel;19580901;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m4;;Regina Palast Hotel;19591002;;Maximilianplatz;5;48.1424914,11.5680918;"„Gedeck DM 8.—
ohne Vorspeise DM 6.—
Gefüllte Eier „Admiral“
auf Gemüsesalat, Toast
Blumenkohlsuppe
Heilbuttschnitte v. Rost, Sc.Tartar,
Salzkartoffeln und Endiviensalat“";Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m5;;Regina Palast Hotel;19591003;;Maximilianplatz;5;48.1424914,11.5680918;„Legierte Krebssuppe 1.20“;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m6;;Regina Palast Hotel;19591006;;Maximilianplatz;5;48.1424914,11.5680918;"„Afrik. Schildkrötensuppe 1.50“
„Pökelzunge mit Aspik - Gemüsesalat, Toast und Butter 4.60“";Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m7;;Regina Palast Hotel;19590618;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m8;;Regina Palast Hotel;19591022;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m9;;Regina Palast Hotel;19591023;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m10;;Regina Palast Hotel;19581026;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m11;;Regina Palast Hotel;19590927;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m12;;Regina Palast Hotel;19590728;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p92/m13;;Regina Palast Hotel;19590930;;Maximilianplatz;5;48.1424914,11.5680918;;Q48665523;"Q66107
Q1293460
Q76618
Q57604
Q44608"
p93/m1;;Hotel Reichshof;19160310;;Sonnenstraße;15;48.1372568,11.563325;„Verlorene Eier in Tomatentunke 80“;;
p93/m2;p93_m2_ima1.jpg;Hotel Reichshof;1916;;Sonnenstraße;15;48.1372568,11.563325;„Westfälische Sondergerichte“;;
p93/m3;;Hotel Reichshof;1916;Telef. 50615;Sonnenstraße;15;48.1372568,11.563325;„Speisenfolge. Fettlos!“;;
p93/m4;p93_m4.jpg;Hotel Reichshof;19161008;;Sonnenstraße;15;48.1372568,11.563325;;;
p93/m5;;Hotel Reichshof;19161106;;Sonnenstraße;15;48.1372568,11.563325;;;
p93/m6;;Hotel Reichshof;19161107;;Sonnenstraße;15;48.1372568,11.563325;;;
p94/m1;p94_m1.jpg;Reinhof-Gaststätten und Bierstuben im Hotel Reinischer Hof;19380827;;Bayerstr.;21;48.1391298,11.5593971;"„Die BEILAGEN bei den M e n ü s können aus betriebstechnischen Gründen nicht oder nur gegen A u f s c h l a g gewechselt werden.“

„Ofnerbeef mit Spätzl“
„Karbonnadl, garniert“
„Nachtisch:
Reis Trautmannsdorf“";;
p95/m1;p95_m1_ima1.jpg;Café Ringelnatz;ca. 1975;;;;;Rumpsteak „Ringelnatz“;;
p96/m1;p96_m1.jpg;Café Ringelnatz;1975;;Fraunhoferstraße;44;48.1280403,11.5735406;„Frühstückskarte von 9—11 Uhr“;;
p96/m1;;Café Rischart's Backhaus;1975;;Marienplatz;18;48.1367573,11.5741019;„Frühstückskarte von 9—11 Uhr“;;
p97/m1;;Hotel-Restaurant Roter Hahn;19161231;;Karlsplatz;11;48.1386813,11.5636138;"„Schlussbraten m. Rotkraut“
„Dunstobst gemischt“
„Speisen ohne Getränke 20 Pfg. Erhöhung.“";;
p98/m1;p98_m1_ima3.jpg;Wiener Rutsch'n;1965;342165/242102;Hohenzollernstraße;42-44;48.1599863,11.5781503;„Heurigenplatte“;;
p99/m1;;Gaststätte Sängerwarte;19380710;Tel. 596240;Pettenkoferstraße;48;48.13543,11.5512013;„Meine Speisen werden nur mit reiner Butter und Schweineschmalz hergestellt!“;;
p100/m1;p100_m1_ima10.jpg;Wiener Café und Restaurant Schelling-Salon;19160814;;Barerstraße;43;48.1513711,11.571055;„Kaiserschnitz“;;
p101/m1;p101_m1_ima1.jpg;Weinhaus Schneider;2008;;Sparkassenstraße;1;;;;
p102/m1;p102_m1.jpg;Café im Sonnenhof „Zur Schönen Münchnerin“;1965;;Sonnenstraße;12;48.1369669,11.56211;"„Unsere Ladenspezialitäten
Pralinen
Rohkost-Pralinen
Spezial-Pralinen
Teegebäck
Schweizer Spezialgebäck
Dattelgebäck
Baumkuchenspitzen
Floretten
Mandelflans“";;
p103/m1;p103_m1.jpg;Festzelt Schottenhammel;1965;;;;;;;
p104/m1;p104_m1_ima1.jpg;Schwabinger Bräu;1964;;Leopoldstr.;82;48.1612932,11.5846513;„Geschabtes Steak, Leipziger Allerlei, Kartoffeln“;;
p105/m1;;Hotel Schwarzer Adler;ca. 1930;;Landwehrstraße;32a;48.1364788,11.5582114;"„Restaurationsbrot“
„Münchner Pickfein“";;
p106/m1;p106_m1_ima2.jpg;Schwarzwälder's Naturweinhaus;19600201;Gästeruf: 227216 - Büroruf: 222929;Hartmannstraße;8;48.1394553,11.5704967;„Doppelte Kraftbrühe „Dubarry“ —.60“;;
p106/m2;;Schwarzwälder's Naturweinhaus;19590306;Gästeruf: 227216 - Büroruf: 222930;Hartmannstraße;8;48.1394553,11.5704967;;;
p106/m3;;Schwarzwälder's Naturweinhaus;19591214;Gästeruf: 227216 - Büroruf: 222931;Hartmannstraße;8;48.1394553,11.5704967;;;
p106/m4;;Schwarzwälder's Naturweinhaus;19590917;Gästeruf: 227216 - Büroruf: 222932;Hartmannstraße;8;48.1394553,11.5704967;;;
p106/m5;;Schwarzwälder's Naturweinhaus;19590623;Gästeruf: 227216 - Büroruf: 222933;Hartmannstraße;8;48.1394553,11.5704967;„Feinste Blätterteig Käsestangen (Spezialität) —.40“;;
p107/m1;p107_m1_ima2.jpg;Schweizer Haus;1962;;Schwanthalerstr.;146;48.1379926,11.5425373;„Schwabinger Woche 1962 Schweizer Haus München - präsentiert von Auberge-Patron H. Bernard unter Assistenz von Schwabings Zukunftswirtin Erika Fuchs“;;
p108/m1;;Schweizer Hof;19810619;;Planeggerstr.;14;48.144206,11.4556342;„Tellerfleisch mit Meerrettich“;;
p108/m2;;Schweizer Hof;19810619;;Planeggerstr.;14;48.144206,11.4556342;;;
p109/m1;p109_m1.jpg;Sell's Schoppenstube;19380825;;Schommerstr.;19;48.1379988,11.5593563;"„Meine Spezialität: Karpfen gebacken auf fränkische Art“
„Ei im Glas —.20“";;
p110/m1;p110_m1.jpg;Wein-Restaurant Sommer, Friedrich;1902;;Rosenstrasse;11/1;48.1367611,11.5718946;"„Diners à Couvert von Mark 1,20, 1,50 bis Mark 3.- Zu höheren Preisen auf Vorausbestellung.“
„1 Portion Astrachan-Caviar“
„Gothaer Cervelat“";;
p111/m1;p111_m1_ima1.jpg;Spaten-Bräuhallen;197304;557750;Arnulfstraße;10;48.1418725,11.556588;"„Billiger essen mit „Bräuhallen-Gutscheinheft““

„Das ist die Siegerin!
836 Bräuhallen-Gäste entschieden sich für das „Bayrische Dirndl“
Wir danken unseren Gästen für die rege Teilnahme an unserem März-Wettbewerb. 85 % wählten das „Bayrische Dirndl“ als neues Kleid für die SPATEN-Christll, die vor einem Jahr als „Olympia-Mädchen“ die Besucher Münchens begrüßte. Nur 3 Teilnehmer gefiel der „schwabing Look“. Das „Münchner Kindl“ erzielte 14 % Stimmen.“";;
p111/m2;;Spaten-Bräuhallen;197303;557750;Arnulfstraße;10;48.1418725,11.556588;40 Minuten hat diese junge Dame Zeit, um mit ihren Kollegen in den Bräuhallen Mittagspause zu machen. — 40 Sekunden braucht sie jedoch nur, um Ihnen Ihre Urlaubsreise zu bestätigen. Beachten Sie bitte Seite 4.“;;
p112/m1;p112_m1_ima2.jpg;Gaststätte Spatenhaus;19591027;Fernsprecher 27841-42;Residenzstraße;12;48.1399057,11.5749558;„6.- Isarhuchen gek., zerl.Butter, Salzkart.“;;
p112/m1;;Gaststätte Spatenhaus;19591028;Fernsprecher 27841-42;Perusastraße;3;48.1397315,11.5744544;„Ferngespräche bitte bei der Bedienung anmelden“;;
p113/m1;p113_m1_ima1.jpg;Zum Spöckmeier;1977;;am Roseneck;;48.1368324,11.5739749;"„150 Jahre Salvator-Ausschank beim Spöckmeier“

„Die obengenannten Speisen entstammen alten Münchner Speisekarten der letzten 150 Jahre. Einige Gerichte sind dem „Allerneusten Münchner Kochbuch“ entnommen.“

„Kuttelflecksuppe“
„Gedämpfte Ochsenweich mit Kartoffelschnitz“
„Ausgezogene Kucheln“
„Schusterloabe“";;
p113/m2;;Zum Spöckmeier;19770203;;am Roseneck;;48.1368324,11.5739749;„Aus dem Garten, respektive Treibhaus“;;
p113/m3;;Zum Spöckmeier;19770204;;am Roseneck;;48.1368324,11.5739749;„Die Spöckmeier-Hauschronik“;;
p114/m1;p114_m1.jpg;Gaststätte St. Paul;ca. 1938;;Landwehrstraße;72;48.1365776,11.5512442;"„Geräuchertes Wammerl m Kraut“

„Bestgepflegte Spaten-Biere“
„Eigene Schlächterei“";;
p115/m1;;Restaurant Stadt Wien;19410603;;Bayerstraße;27/29;48.1391648,11.5582791;„Speise-Restaurant:Cafe & Spielsaal;;
p116/m1;;Starnberger Bahnhof;19380827;;Arnulfstraße;7;48.1418612,11.5541279;"„Wartesäle 1. und 2. Klasse“
„Pfannengerichte Zubereitungszeit 15 Minuten“";;
p118/m1;p118_m1_ima1.jpg;Straßburger Keller;ca. 1968;343874;Leopoldstraße;42;48.1568067,11.5827489;„Original elsässer Bauernwurstplatte nach Strassburger Art mit Kümmelbrot“;;
p118/m2;;Straßburger Keller;1963;;Leopoldstraße;42;48.1568067,11.5827489;;;
p118/m3;p118_m3_ima13.jpg;Straßburger Keller;1963;;Leopoldstraße;42;48.1568067,11.5827489;„Spezialitäten von Straßburg, um Straßburg und um Straßburg herum“;;
p118/m4;;Straßburger Keller;1971;;Leopoldstraße;42;48.1568067,11.5827489;"„Muscheln gefüllt mit feinem Kalbsragout, mit Käse überbacken, Toast“
„Ein Schnitzel nach der Stadt Wien benannt, mit frisc hen Salaten und goldgelben Kartoffelstäbchen“";;
p119/m1;;Gasthaus Anton Tafelmeyer;ca. 1855;;Ottostraße;2;48.1410796,11.5653304;"""Geräuchertes mit Kraut“";;
p120/m1;;Tasca Valenciana;ca. 1965;;;;;;;
p120/m2;;Tasca Valenciana;ca. 1965;;;;;;;
p121/m1;p121_m1_ima1.jpg;Theaterbetriebe;1966;293741-43;Max-Joseph-Platz;2;48.1397307,11.5765952;"""Smörrebred von Aal mit Rührei""
""Melone oder Spargelspitzen""
""Diätteller""";;
P122/m1;p122_m1_ima2.jpg;Fränkisches Weinhaus zur Torggelstube;ca. 1958;;Platzl;8;48.13791,11.5780114;"""Was ist Wein? Sonnenschein,
den die Reben selig in sich sogen, 
Sonnenschein kommt mit dem 
Wein in's Herz gezogen.""
""Escherndorfer Berg""
""Sulzfelder Altenberg""
""Leistadter Herrenmorgen""";;Q61722,Q57619,Q77024,Q77925
P122/m2;p122_m2.jpg;Fränkisches Weinhaus zur Torggelstube;19591103;;Platzl;8;48.13791,11.5780114;"""Schnitzel Holstein, reich garniert""
""2 Stück gebackene Eier amerikanisch""
""Echte Schildkrötensuppe""
""Indische Schildkrötensuppe""
""Dänische Hummersuppe""
""Westfälisches Bauernstilleben""";;Q61722,Q57619,Q77024,Q77926
P122/m3;p122_m3.jpg;Fränkisches Weinhaus zur Torggelstube;1960;;Platzl;;48.13791,11.5780114;"""SPEZIALITÄT: 
Bowle in der Kanne aus Saisonfrucht
Zusammenstellung nach Wunsch.""";;Q61722,Q57619,Q77024,Q77927
P122/m4;p122_m4_ima3.jpg;Fränkisches Weinhaus zur Torggelstube;1974;;Platzl;6-8;48.13791,11.5780114;"""Wurzelsuppe mit Rindfleisch und Mark""
""Klare Schildkrötensuppe mit Chesterhörnchen""
""Blaue Zipfel""
""Surhaxl auf Kraut""
""O'Batzder""";;Q61722,Q57619,Q77024,Q77927
p123/m1;p123_m1.jpg;Münchner Kriminaltheater Tribüne;1968;;;;;"""Schwedenplatte (16 kleine Brötchen)""
""Nordheimer Vögelein, Bocksbeutel""";;Q107837
p124/m1;p124_m1_ima1.jpg;Restaurant Tsing-Tien;1959;;"München-Neuhausen
Nymphenburger Str.";193;48.1567326,11.5279503;"""Schwalbennestersuppe""
""Haifischflossensuppe""
""Fu Jung mit Fleisch""
""Hühner Chow Mein""";;
P125/m1;p125_m1_ima4.jpg;Hotel Union;19160901;Fernruf 9300;Barerstraße;7;48.1434975,11.5659318;"""Hohlnudel überkrustet""
""Brötchen mit geschabtem Fleisch""
""Eiersalat (Kopfsalat)""";;
P125/m2;;Hotel Union;19160829;Fernruf 9300;Barerstraße;7;48.1434975,11.5659318;;;
P125/m3;;Hotel Union;1917;;Barerstraße;7;48.1434975,11.5659318;;;
P125/m4;;Hotel Union;1916;Fernruf 9300;Barerstraße;7;48.1434975,11.5659318;;;
p126/m1;p126_m1_ima3.jpg;Turmstüberl im Valentin-Musäum;ca. 1980;;Im Tal;50;48.1349507,11.5817428;"""Kaffee Portion 'Tante Paula'""
""Wanningerbrotzeit (Kalte Platte)""";Q264209;Q45255
p127/m1;;Hotel Vier Jahreszeiten;19260226;;Maximilianstraße;4;48.1391167,11.5800359;"""Stubenzucht Ente""
""Lammnüsschen auf Husaren Art""
""Scotch Wood Cock""
""Bisquittkrustela mit Früchten""
""Florenzer Taube""";Q1388047;Q2492,Q76425,Q225993,Q19943,Q8016,Q130853,Q9682,Q150782,Q13894,Q41309,Q80621,Q7304,Q47120,Q152505,Q57065,Q2831,Q2808,Q44517,Q17293,Q43252,Q1448439,Q7747,Q78469,Q34851,Q55796,Q47875
p128/m1;p128_m1.jpg;Café Restaurant Viktoria;19160516;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;"""Viktoria-Siegesplatte""
""Viktoria-Gemisch""
""Viktoria-Salat""
""Weiche Eier, das Stück""
""Brathäring""
""Junghäring""
""Naturhäring""
""Weinkarte liegt auf!""
""Eigene Feinbäckerei""
""Vor und nach den Theatern auswahlreiche Abendkarte""";;
p128/m16;;Café Restaurant Viktoria;19160516;Telephon 20291;Maximilianstraße;17;48.1391131,11.5800359;;;
